Demographic Data Report by State
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2015-2019 American Community Survey 5-Year Data
Sorted by Value

State, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Mahaska County, Iowa",19123,22.0,3287,"1227 of 3146"
"West Baton Rouge Parish, Louisiana",22121,22.0,3880,"1228 of 3146"
"McPherson County, Nebraska",31117,22.0,71,"1229 of 3146"
"Franklin County, North Carolina",37069,22.0,10128,"1230 of 3146"
"Socorro County, New Mexico",35053,22.0,2418,"1231 of 3146"
"Washington County, Maryland",24043,21.9,23046,"1232 of 3146"
"Posey County, Indiana",18129,21.9,3928,"1233 of 3146"
"Portsmouth City, Virginia",51740,21.9,13925,"1234 of 3146"
"Aransas County, Texas",48007,21.9,3911,"1235 of 3146"
"Grant County, South Dakota",46051,21.9,1088,"1236 of 3146"
"Wood County, West Virginia",54107,21.9,13246,"1237 of 3146"
"Bryan County, Oklahoma",40013,21.9,6791,"1238 of 3146"
"Harnett County, North Carolina",37085,21.9,18702,"1239 of 3146"
"Franklin County, Virginia",51067,21.9,8920,"1240 of 3146"
"Nueces County, Texas",48355,21.8,51445,"1241 of 3146"
"Alfalfa County, Oklahoma",40003,21.8,954,"1242 of 3146"
"Polk County, Nebraska",31143,21.8,794,"1243 of 3146"
"Spink County, South Dakota",46115,21.8,971,"1244 of 3146"
"Washington County, Iowa",19183,21.8,3243,"1245 of 3146"
"Tillamook County, Oregon",41057,21.8,4306,"1246 of 3146"
"Osceola County, Florida",12097,21.8,50606,"1247 of 3146"
"Sherman County, Kansas",20181,21.8,892,"1248 of 3146"
"Cowley County, Kansas",20035,21.8,5084,"1249 of 3146"
"Fannin County, Georgia",13111,21.8,4262,"1250 of 3146"
"Platte County, Nebraska",31141,21.8,4738,"1251 of 3146"
"Yuma County, Colorado",08125,21.8,1446,"1252 of 3146"
"Phillips County, Kansas",20147,21.8,811,"1253 of 3146"
"Wilson County, Texas",48493,21.8,7197,"1254 of 3146"
"Steuben County, Indiana",18151,21.8,5168,"1255 of 3146"
"Winnebago County, Iowa",19189,21.8,1548,"1256 of 3146"
"Pueblo County, Colorado",08101,21.8,24679,"1257 of 3146"
"Van Buren County, Michigan",26159,21.7,11240,"1258 of 3146"
"Throckmorton County, Texas",48447,21.7,237,"1259 of 3146"
"Union County, Illinois",17181,21.7,2659,"1260 of 3146"
"Walton County, Georgia",13297,21.7,13234,"1261 of 3146"
"Mercer County, North Dakota",38057,21.7,1300,"1262 of 3146"
"Colfax County, New Mexico",35007,21.7,1985,"1263 of 3146"
"Warren County, Virginia",51187,21.7,5938,"1264 of 3146"
"Houston County, Alabama",01069,21.7,15672,"1265 of 3146"
"Fremont County, Idaho",16043,21.7,1825,"1266 of 3146"
"Harding County, New Mexico",35021,21.7,77,"1267 of 3146"
"Delta County, Colorado",08029,21.7,4835,"1268 of 3146"
"Bourbon County, Kansas",20011,21.7,2066,"1269 of 3146"
"Chowan County, North Carolina",37041,21.7,2296,"1270 of 3146"
"Wood County, Wisconsin",55141,21.6,11301,"1271 of 3146"
"Garland County, Arkansas",05051,21.6,15464,"1272 of 3146"
"Knox County, Nebraska",31107,21.6,1263,"1273 of 3146"
"Clinton County, Missouri",29049,21.6,3055,"1274 of 3146"
"Franklin County, Pennsylvania",42055,21.6,23248,"1275 of 3146"
"St. Lucie County, Florida",12111,21.6,49132,"1276 of 3146"
"Sanborn County, South Dakota",46111,21.6,358,"1277 of 3146"
"Matanuska-Susitna Borough, Alaska",02170,21.6,14725,"1278 of 3146"
"Sumter County, Alabama",01119,21.6,1744,"1279 of 3146"
"Day County, South Dakota",46037,21.6,842,"1280 of 3146"
"Weakley County, Tennessee",47183,21.6,4634,"1281 of 3146"
"Howard County, Indiana",18067,21.6,12282,"1282 of 3146"
"Buchanan County, Iowa",19019,21.5,3018,"1283 of 3146"
"Kingsbury County, South Dakota",46077,21.5,756,"1284 of 3146"
"Orleans County, Vermont",50019,21.5,4256,"1285 of 3146"
"Valley County, Montana",30105,21.5,1165,"1286 of 3146"
"Muscatine County, Iowa",19139,21.5,6163,"1287 of 3146"
"Frontier County, Nebraska",31063,21.5,391,"1288 of 3146"
"Hall County, Nebraska",31079,21.5,8452,"1289 of 3146"
"Middlesex County, Virginia",51119,21.5,1800,"1290 of 3146"
"Codington County, South Dakota",46029,21.5,4095,"1291 of 3146"
"Lee County, North Carolina",37105,21.5,8755,"1292 of 3146"
"Chisago County, Minnesota",27025,21.5,8254,"1293 of 3146"
"Aurora County, South Dakota",46003,21.5,388,"1294 of 3146"
"Herkimer County, New York",36043,21.5,9395,"1295 of 3146"
"Pottawattamie County, Iowa",19155,21.5,13567,"1296 of 3146"
"Fillmore County, Nebraska",31059,21.4,872,"1297 of 3146"
"Ogle County, Illinois",17141,21.4,7624,"1298 of 3146"
"San Miguel County, New Mexico",35047,21.4,4207,"1299 of 3146"
"Richmond County, Georgia",13245,21.4,28268,"1300 of 3146"
"McHenry County, North Dakota",38049,21.4,886,"1301 of 3146"
"Waseca County, Minnesota",27161,21.4,2765,"1302 of 3146"
"Morris County, Kansas",20127,21.4,865,"1303 of 3146"
"Baca County, Colorado",08009,21.4,558,"1304 of 3146"
"Glacier County, Montana",30035,21.4,1742,"1305 of 3146"
"Catoosa County, Georgia",13047,21.4,9832,"1306 of 3146"
"Butler County, Nebraska",31023,21.4,1186,"1307 of 3146"
"Ringgold County, Iowa",19159,21.4,737,"1308 of 3146"
"Dougherty County, Georgia",13095,21.4,12306,"1309 of 3146"
"Kiowa County, Colorado",08061,21.4,213,"1310 of 3146"
"Clay County, Texas",48077,21.4,1615,"1311 of 3146"
"Asotin County, Washington",53003,21.4,3464,"1312 of 3146"
"Ford County, Illinois",17053,21.4,1983,"1313 of 3146"
"Burt County, Nebraska",31021,21.3,988,"1315 of 3146"
"Grenada County, Mississippi",28043,21.3,3046,"1316 of 3146"
"Moody County, South Dakota",46101,21.3,939,"1317 of 3146"
"Pipestone County, Minnesota",27117,21.3,1324,"1318 of 3146"
"Sebastian County, Arkansas",05131,21.3,18122,"1319 of 3146"
"Gregg County, Texas",48183,21.3,17008,"1320 of 3146"
"De Witt County, Illinois",17039,21.3,2425,"1321 of 3146"
"Richland County, North Dakota",38077,21.3,2247,"1322 of 3146"
"Blair County, Pennsylvania",42013,21.3,18826,"1323 of 3146"
"Dunn County, North Dakota",38025,21.3,649,"1324 of 3146"
"Chippewa County, Michigan",26033,21.2,5530,"1325 of 3146"
"Berkeley County, West Virginia",54003,21.2,16869,"1326 of 3146"
"Bingham County, Idaho",16011,21.2,5848,"1327 of 3146"
"Gaston County, North Carolina",37071,21.2,32173,"1328 of 3146"
"Carroll County, Arkansas",05015,21.2,4213,"1329 of 3146"
"Hemphill County, Texas",48211,21.2,515,"1330 of 3146"
"Humboldt County, Iowa",19091,21.2,1421,"1331 of 3146"
"Genesee County, Michigan",26049,21.2,59248,"1332 of 3146"
"Brown County, Kansas",20013,21.2,1388,"1333 of 3146"
"Dixon County, Nebraska",31051,21.2,819,"1334 of 3146"
"Clark County, Indiana",18019,21.2,17099,"1335 of 3146"
"Presidio County, Texas",48377,21.2,934,"1336 of 3146"
"Fresno County, California",06019,21.2,127919,"1337 of 3146"
"Dorchester County, Maryland",24019,21.2,4880,"1338 of 3146"
"Adams County, Idaho",16003,21.2,679,"1339 of 3146"
"Huerfano County, Colorado",08055,21.1,1103,"1340 of 3146"
"Franklin County, Indiana",18047,21.1,3287,"1341 of 3146"
"Crawford County, Pennsylvania",42039,21.1,12623,"1342 of 3146"
"Doniphan County, Kansas",20043,21.1,1057,"1343 of 3146"
"Cambria County, Pennsylvania",42021,21.1,20102,"1344 of 3146"
"Howard County, Nebraska",31093,21.1,943,"1345 of 3146"
"Waller County, Texas",48473,21.1,6034,"1346 of 3146"
"Buchanan County, Missouri",29021,21.1,12745,"1347 of 3146"
"Jackson County, Mississippi",28059,21.1,20479,"1348 of 3146"
"Sierra County, New Mexico",35051,21.1,1819,"1349 of 3146"
"Union County, Arkansas",05139,21.1,5642,"1350 of 3146"
"Camden County, Missouri",29029,21.1,7250,"1351 of 3146"
"Carroll County, Georgia",13045,21.1,15625,"1352 of 3146"
"Beaver County, Utah",49001,21.1,807,"1353 of 3146"
"Boone County, Nebraska",31011,21.1,772,"1354 of 3146"
"Oliver County, North Dakota",38065,21.1,271,"1355 of 3146"
"Seneca County, New York",36099,21.1,5207,"1356 of 3146"
"Barry County, Michigan",26015,21.1,8924,"1357 of 3146"
"Fall River County, South Dakota",46047,21.1,1096,"1358 of 3146"
"Calhoun County, Michigan",26025,21.0,19175,"1359 of 3146"
"Callahan County, Texas",48059,21.0,2070,"1360 of 3146"
"Salem County, New Jersey",34033,21.0,9267,"1361 of 3146"
"Stephens County, Georgia",13257,21.0,3664,"1362 of 3146"
"Cedar County, Nebraska",31027,21.0,1204,"1363 of 3146"
"Hancock County, Illinois",17067,21.0,2722,"1364 of 3146"
"King William County, Virginia",51101,21.0,2417,"1365 of 3146"
"Lenawee County, Michigan",26091,21.0,14371,"1366 of 3146"
"Richland County, Illinois",17159,21.0,2310,"1367 of 3146"
"Chase County, Nebraska",31029,21.0,562,"1368 of 3146"
"Cheatham County, Tennessee",47021,21.0,5930,"1369 of 3146"
"Martinsville City, Virginia",51690,21.0,1844,"1370 of 3146"
"Hamlin County, South Dakota",46057,21.0,770,"1371 of 3146"
"San Bernardino County, California",06071,21.0,283484,"1372 of 3146"
"Conejos County, Colorado",08021,21.0,1109,"1373 of 3146"
"Colorado County, Texas",48089,21.0,3008,"1374 of 3146"
"Chippewa County, Wisconsin",55017,21.0,9468,"1375 of 3146"
"Pierce County, North Dakota",38069,21.0,623,"1376 of 3146"
"Delta County, Michigan",26041,21.0,5546,"1377 of 3146"
"Ashland County, Ohio",39005,20.9,7433,"1378 of 3146"
"Garrett County, Maryland",24023,20.9,4497,"1379 of 3146"
"Nuckolls County, Nebraska",31129,20.9,643,"1380 of 3146"
"Sanpete County, Utah",49039,20.9,3698,"1381 of 3146"
"Barton County, Kansas",20009,20.9,3736,"1382 of 3146"
"Washington County, Illinois",17189,20.9,2113,"1383 of 3146"
"Putnam County, Ohio",39137,20.9,4723,"1384 of 3146"
"Franklin County, Missouri",29071,20.9,14943,"1385 of 3146"
"Polk County, Wisconsin",55095,20.9,6538,"1386 of 3146"
"Reno County, Kansas",20155,20.9,9003,"1387 of 3146"
"Rapides Parish, Louisiana",22079,20.9,18162,"1388 of 3146"
"King County, Texas",48269,20.9,33,"1389 of 3146"
"Floyd County, Georgia",13115,20.9,13537,"1390 of 3146"
"Allegany County, New York",36003,20.9,6268,"1391 of 3146"
"Cooke County, Texas",48097,20.9,5639,"1392 of 3146"
"Appomattox County, Virginia",51011,20.9,2319,"1393 of 3146"
"White County, Arkansas",05145,20.9,10659,"1394 of 3146"
"Saginaw County, Michigan",26145,20.8,27514,"1395 of 3146"
"Franklin County, Tennessee",47051,20.8,5950,"1396 of 3146"
"McLean County, North Dakota",38055,20.8,1448,"1397 of 3146"
"Walker County, Texas",48471,20.8,9701,"1398 of 3146"
"Washita County, Oklahoma",40149,20.8,1569,"1399 of 3146"
"Burnett County, Wisconsin",55013,20.8,2440,"1400 of 3146"
"Gage County, Nebraska",31067,20.8,3162,"1401 of 3146"
"Pend Oreille County, Washington",53051,20.8,2078,"1402 of 3146"
"Jones County, Mississippi",28067,20.8,9334,"1403 of 3146"
"Kankakee County, Illinois",17091,20.8,15139,"1404 of 3146"
"Nash County, North Carolina",37127,20.8,13460,"1405 of 3146"
"Hardin County, Iowa",19083,20.8,2524,"1406 of 3146"
"Murray County, Minnesota",27101,20.7,1239,"1407 of 3146"
"Whitley County, Indiana",18183,20.7,4842,"1408 of 3146"
"Harmon County, Oklahoma",40057,20.7,393,"1409 of 3146"
"Morgan County, Georgia",13211,20.7,2653,"1410 of 3146"
"Lyon County, Iowa",19119,20.7,1577,"1411 of 3146"
"Brown County, Nebraska",31017,20.7,463,"1412 of 3146"
"Lebanon County, Pennsylvania",42075,20.7,19834,"1413 of 3146"
"Barber County, Kansas",20007,20.7,665,"1414 of 3146"
"Avery County, North Carolina",37011,20.7,2755,"1415 of 3146"
"Bastrop County, Texas",48021,20.7,11485,"1416 of 3146"
"Cheboygan County, Michigan",26031,20.7,4028,"1417 of 3146"
"Platte County, Wyoming",56031,20.7,1348,"1418 of 3146"
"Twin Falls County, Idaho",16083,20.6,11146,"1419 of 3146"
"Pembina County, North Dakota",38067,20.6,1047,"1420 of 3146"
"Decatur County, Indiana",18031,20.6,3684,"1421 of 3146"
"Bowie County, Texas",48037,20.6,13041,"1422 of 3146"
"Surry County, Virginia",51181,20.6,1021,"1423 of 3146"
"Lonoke County, Arkansas",05085,20.6,9944,"1424 of 3146"
"Pepin County, Wisconsin",55091,20.6,1081,"1425 of 3146"
"Bureau County, Illinois",17011,20.6,4859,"1426 of 3146"
"Wichita County, Kansas",20203,20.6,309,"1427 of 3146"
"Barron County, Wisconsin",55005,20.6,6644,"1428 of 3146"
"Millard County, Utah",49027,20.6,1620,"1429 of 3146"
"Beaufort County, North Carolina",37013,20.6,7031,"1430 of 3146"
"Monroe County, Wisconsin",55081,20.6,6356,"1431 of 3146"
"Carbon County, Wyoming",56007,20.6,2148,"1432 of 3146"
"Peach County, Georgia",13225,20.5,3631,"1433 of 3146"
"Kaufman County, Texas",48257,20.5,16305,"1434 of 3146"
"Douglas County, Washington",53017,20.5,5664,"1435 of 3146"
"Washington County, New York",36115,20.5,9235,"1436 of 3146"
"Shenandoah County, Virginia",51171,20.5,6353,"1437 of 3146"
"Beadle County, South Dakota",46005,20.5,2485,"1438 of 3146"
"Monroe County, Michigan",26115,20.5,21581,"1439 of 3146"
"Carter County, Oklahoma",40019,20.5,6613,"1440 of 3146"
"Tuolumne County, California",06109,20.5,8471,"1441 of 3146"
"Moniteau County, Missouri",29135,20.5,2222,"1442 of 3146"
"Keith County, Nebraska",31101,20.5,1224,"1443 of 3146"
"Mitchell County, North Carolina",37121,20.5,2274,"1444 of 3146"
"McCormick County, South Carolina",45065,20.5,1608,"1445 of 3146"
"Martin County, Minnesota",27091,20.5,2878,"1446 of 3146"
"Coffee County, Tennessee",47031,20.5,7699,"1447 of 3146"
"Newton County, Arkansas",05101,20.5,1172,"1448 of 3146"
"Gilmer County, Georgia",13123,20.4,4559,"1449 of 3146"
"Deer Lodge County, Montana",30023,20.4,1415,"1450 of 3146"
"Grayson County, Texas",48181,20.4,18048,"1451 of 3146"
"Santa Cruz County, Arizona",04023,20.4,5987,"1452 of 3146"
"Whitley County, Kentucky",21235,20.4,4714,"1453 of 3146"
"Mountrail County, North Dakota",38061,20.4,1341,"1454 of 3146"
"Jefferson County, Missouri",29099,20.4,31544,"1455 of 3146"
"Clay County, Mississippi",28025,20.4,2735,"1456 of 3146"
"Franklin County, Kansas",20059,20.4,3492,"1457 of 3146"
"Schuyler County, Illinois",17169,20.4,1060,"1458 of 3146"
"Muskogee County, Oklahoma",40101,20.4,9309,"1459 of 3146"
"Powell County, Montana",30077,20.4,1080,"1460 of 3146"
"Wayne County, Pennsylvania",42127,20.4,8002,"1461 of 3146"
"Macon County, Alabama",01087,20.4,2450,"1462 of 3146"
"Lyman County, South Dakota",46085,20.3,480,"1463 of 3146"
"Kershaw County, South Carolina",45055,20.3,9153,"1464 of 3146"
"Allen County, Kansas",20001,20.3,1740,"1465 of 3146"
"Washington County, Kansas",20201,20.3,784,"1466 of 3146"
"Comanche County, Texas",48093,20.3,1945,"1467 of 3146"
"Perkins County, South Dakota",46105,20.3,418,"1468 of 3146"
"Manistee County, Michigan",26101,20.3,3724,"1469 of 3146"
"Meade County, Kansas",20119,20.3,559,"1470 of 3146"
"Spencer County, Kentucky",21215,20.3,2636,"1471 of 3146"
"Jersey County, Illinois",17083,20.3,3095,"1472 of 3146"
"Roseau County, Minnesota",27135,20.3,2107,"1473 of 3146"
"Yancey County, North Carolina",37199,20.3,2678,"1474 of 3146"
"Lafayette County, Missouri",29107,20.3,4594,"1475 of 3146"
"Manitowoc County, Wisconsin",55071,20.2,11526,"1476 of 3146"
"Collingsworth County, Texas",48087,20.2,398,"1477 of 3146"
"Jackson County, Kansas",20085,20.2,1807,"1478 of 3146"
"Page County, Iowa",19145,20.2,2253,"1479 of 3146"
"Piute County, Utah",49031,20.2,263,"1480 of 3146"
"Gray County, Kansas",20069,20.2,764,"1481 of 3146"
"Logan County, Colorado",08075,20.2,3063,"1482 of 3146"
"Carter County, Montana",30011,20.2,195,"1483 of 3146"
"Sherman County, Nebraska",31163,20.2,448,"1484 of 3146"
"Mecklenburg County, Virginia",51117,20.2,4583,"1485 of 3146"
"Anderson County, Kentucky",21005,20.2,3100,"1486 of 3146"
"Polk County, Florida",12105,20.2,95851,"1487 of 3146"
"Green Lake County, Wisconsin",55047,20.2,2679,"1488 of 3146"
"Gregory County, South Dakota",46053,20.2,595,"1489 of 3146"
"Perquimans County, North Carolina",37143,20.2,2034,"1490 of 3146"
"Des Moines County, Iowa",19057,20.1,5523,"1491 of 3146"
"Clark County, Kentucky",21049,20.1,5090,"1492 of 3146"
"Ellis County, Oklahoma",40045,20.1,566,"1493 of 3146"
"Marion County, Florida",12083,20.1,53003,"1494 of 3146"
"Johnston County, Oklahoma",40069,20.1,1498,"1495 of 3146"
"Knox County, Texas",48275,20.1,482,"1496 of 3146"
"Renville County, North Dakota",38075,20.1,338,"1497 of 3146"
"Huntington County, Indiana",18069,20.1,5022,"1498 of 3146"
"Hopkins County, Texas",48223,20.1,4917,"1499 of 3146"
"Bronx County, New York",36005,20.1,186550,"1500 of 3146"
"Cass County, Iowa",19029,20.1,1872,"1501 of 3146"
"Pulaski County, Virginia",51155,20.0,5126,"1502 of 3146"
"Sac County, Iowa",19161,20.0,1390,"1503 of 3146"
"Effingham County, Georgia",13103,20.0,7896,"1504 of 3146"
"Newton County, Missouri",29145,20.0,7874,"1505 of 3146"
"Jackson County, Colorado",08057,20.0,195,"1506 of 3146"
"Klamath County, Oregon",41035,20.0,9396,"1507 of 3146"
"Iron County, Wisconsin",55051,20.0,919,"1508 of 3146"
"Okanogan County, Washington",53047,20.0,5844,"1509 of 3146"
"Worth County, Missouri",29227,20.0,295,"1510 of 3146"
"Major County, Oklahoma",40093,20.0,1038,"1511 of 3146"
"Weston County, Wyoming",56045,20.0,1016,"1512 of 3146"
"Victoria County, Texas",48469,20.0,12033,"1513 of 3146"
"Cottonwood County, Minnesota",27033,20.0,1559,"1514 of 3146"
"Tangipahoa Parish, Louisiana",22105,20.0,17143,"1515 of 3146"
"Waupaca County, Wisconsin",55135,19.9,7407,"1516 of 3146"
"Greenbrier County, West Virginia",54025,19.9,5163,"1517 of 3146"
"Florence County, Wisconsin",55037,19.9,685,"1518 of 3146"
"Greenwood County, Kansas",20073,19.9,880,"1519 of 3146"
"Clay County, Nebraska",31035,19.9,840,"1520 of 3146"
"Webster County, Iowa",19187,19.9,4912,"1521 of 3146"
"Logan County, Illinois",17107,19.9,4059,"1522 of 3146"
"Beaver County, Oklahoma",40007,19.9,708,"1523 of 3146"
"Taney County, Missouri",29213,19.9,7561,"1524 of 3146"
"Hunt County, Texas",48231,19.9,12356,"1525 of 3146"
"Lampasas County, Texas",48281,19.9,2925,"1526 of 3146"
"Calhoun County, South Carolina",45017,19.9,2144,"1527 of 3146"
"Orangeburg County, South Carolina",45075,19.9,11777,"1528 of 3146"
"Grady County, Oklahoma",40051,19.9,7407,"1529 of 3146"
"Caroline County, Virginia",51033,19.9,4053,"1530 of 3146"
"Polk County, Missouri",29167,19.9,4046,"1531 of 3146"
"Barton County, Missouri",29011,19.9,1605,"1532 of 3146"
"Clark County, Illinois",17023,19.9,2172,"1533 of 3146"
"Medina County, Texas",48325,19.8,6671,"1534 of 3146"
"Ashland County, Wisconsin",55003,19.8,2114,"1535 of 3146"
"Boundary County, Idaho",16021,19.8,1616,"1536 of 3146"
"Bosque County, Texas",48035,19.8,2595,"1537 of 3146"
"Guthrie County, Iowa",19077,19.8,1492,"1538 of 3146"
"Petersburg City, Virginia",51730,19.8,4303,"1539 of 3146"
"Floyd County, Iowa",19067,19.8,2148,"1540 of 3146"
"Idaho County, Idaho",16049,19.8,2393,"1541 of 3146"
"Newton County, Georgia",13217,19.8,13695,"1542 of 3146"
"Snyder County, Pennsylvania",42109,19.8,5347,"1543 of 3146"
"Roane County, Tennessee",47145,19.8,7735,"1544 of 3146"
"Briscoe County, Texas",48045,19.8,207,"1545 of 3146"
"Elkhart County, Indiana",18039,19.8,25613,"1546 of 3146"
"Crook County, Oregon",41013,19.8,3382,"1547 of 3146"
"San Benito County, California",06069,19.7,7686,"1548 of 3146"
"Ste. Genevieve County, Missouri",29186,19.7,2498,"1549 of 3146"
"Lauderdale County, Mississippi",28075,19.7,10130,"1550 of 3146"
"Muskegon County, Michigan",26121,19.7,23337,"1551 of 3146"
"Buena Vista County, Iowa",19021,19.7,2477,"1552 of 3146"
"Livingston Parish, Louisiana",22063,19.7,18083,"1553 of 3146"
"Southeast Fairbanks Census Area, Alaska",02240,19.7,890,"1554 of 3146"
"Fayette County, Texas",48149,19.7,3597,"1555 of 3146"
"Gove County, Kansas",20063,19.7,379,"1556 of 3146"
"Lipscomb County, Texas",48295,19.7,440,"1557 of 3146"
"Marshall County, Indiana",18099,19.7,6047,"1558 of 3146"
"Ashe County, North Carolina",37009,19.7,4002,"1559 of 3146"
"Holt County, Missouri",29087,19.7,645,"1560 of 3146"
"Jefferson County, Texas",48245,19.7,33216,"1561 of 3146"
"Wilson County, North Carolina",37195,19.6,10903,"1562 of 3146"
"Logan County, North Dakota",38047,19.6,271,"1563 of 3146"
"Columbia County, Arkansas",05027,19.6,2879,"1564 of 3146"
"Henry County, Iowa",19087,19.6,2681,"1565 of 3146"
"Wyoming County, Pennsylvania",42131,19.6,3840,"1566 of 3146"
"Robertson County, Tennessee",47147,19.6,9388,"1567 of 3146"
"Logan County, Nebraska",31113,19.6,121,"1568 of 3146"
"Lincoln County, Nevada",32017,19.6,728,"1569 of 3146"
"Lincoln County, Montana",30053,19.6,2945,"1570 of 3146"
