Demographic Data Report by State
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2015-2019 American Community Survey 5-Year Data
Sorted by Value

State, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"Northampton County, Pennsylvania",42095,15.2,44332,"324 of 3146"
"Ellis County, Texas",48139,15.2,26067,"323 of 3146"
"Sumter County, Florida",12119,15.2,17551,"322 of 3146"
"Parker County, Texas",48367,15.2,20044,"321 of 3146"
"Dubois County, Indiana",18037,15.2,6322,"320 of 3146"
"Walworth County, South Dakota",46129,15.2,810,"319 of 3146"
"Randall County, Texas",48381,15.2,19888,"318 of 3146"
"Jefferson County, Wisconsin",55055,15.2,12357,"317 of 3146"
"Spencer County, Kentucky",21215,15.1,2799,"316 of 3146"
"Wells County, North Dakota",38103,15.1,591,"315 of 3146"
"Kent County, Texas",48263,15.1,91,"314 of 3146"
"Miner County, South Dakota",46097,15.1,328,"313 of 3146"
"Anchorage Borough, Alaska",02020,15.1,43253,"312 of 3146"
"Menard County, Illinois",17129,15.1,1828,"311 of 3146"
"Converse County, Wyoming",56009,15.1,2091,"310 of 3146"
"Dutchess County, New York",36027,15.1,41802,"309 of 3146"
"Prince George County, Virginia",51149,15.1,5125,"308 of 3146"
"Talbot County, Maryland",24041,15.1,5527,"307 of 3146"
"Manassas Park City, Virginia",51685,15.1,2535,"306 of 3146"
"Henry County, Ohio",39069,15.1,4022,"305 of 3146"
"Osage County, Missouri",29151,15.1,2002,"304 of 3146"
"Carbon County, Montana",30009,15.1,1578,"303 of 3146"
"Barry County, Michigan",26015,15.0,8970,"302 of 3146"
"Nantucket County, Massachusetts",25019,15.0,1654,"301 of 3146"
"Armstrong County, Texas",48011,15.0,285,"300 of 3146"
"Union County, South Dakota",46127,15.0,2285,"299 of 3146"
"Plymouth County, Iowa",19149,15.0,3701,"298 of 3146"
"Marion County, Iowa",19125,15.0,4727,"297 of 3146"
"Wabasha County, Minnesota",27157,14.9,3183,"296 of 3146"
"Washington County, Oregon",41067,14.9,87159,"295 of 3146"
"Jasper County, Indiana",18073,14.9,4831,"294 of 3146"
"Henrico County, Virginia",51087,14.9,48236,"293 of 3146"
"Westchester County, New York",36119,14.9,140542,"292 of 3146"
"Hemphill County, Texas",48211,14.9,588,"291 of 3146"
"Clay County, Missouri",29047,14.8,35533,"290 of 3146"
"Auglaize County, Ohio",39011,14.8,6682,"289 of 3146"
"Ward County, North Dakota",38101,14.8,9907,"288 of 3146"
"Pope County, Minnesota",27121,14.8,1610,"287 of 3146"
"Brazoria County, Texas",48039,14.8,51649,"286 of 3146"
"Eagle County, Colorado",08037,14.7,8017,"285 of 3146"
"Comal County, Texas",48091,14.7,20685,"284 of 3146"
"Cumberland County, Maine",23005,14.7,41756,"283 of 3146"
"Ottawa County, Michigan",26139,14.7,40599,"282 of 3146"
"Caroline County, Virginia",51033,14.7,4112,"281 of 3146"
"King William County, Virginia",51101,14.6,2432,"280 of 3146"
"Fairfield County, Connecticut",09001,14.6,135590,"279 of 3146"
"Pierce County, Nebraska",31139,14.6,1018,"278 of 3146"
"Morgan County, Georgia",13211,14.6,2662,"277 of 3146"
"Contra Costa County, California",06013,14.6,165356,"276 of 3146"
"Roseau County, Minnesota",27135,14.6,2198,"275 of 3146"
"Kitsap County, Washington",53035,14.6,37455,"274 of 3146"
"Clear Creek County, Colorado",08019,14.6,1360,"273 of 3146"
"Brown County, Minnesota",27015,14.5,3502,"272 of 3146"
"Leavenworth County, Kansas",20103,14.5,10899,"271 of 3146"
"Baltimore County, Maryland",24005,14.5,117340,"270 of 3146"
"Belknap County, New Hampshire",33001,14.5,8715,"269 of 3146"
"Morton County, North Dakota",38059,14.5,4379,"268 of 3146"
"Prince Georges County, Maryland",24033,14.5,128676,"267 of 3146"
"Wilkin County, Minnesota",27167,14.5,890,"266 of 3146"
"Pierce County, Wisconsin",55093,14.5,5671,"265 of 3146"
"Posey County, Indiana",18129,14.5,3649,"264 of 3146"
"Olmsted County, Minnesota",27109,14.4,22040,"263 of 3146"
"Fairbanks North Star, Alaska",02090,14.4,13675,"262 of 3146"
"Billings County, North Dakota",38007,14.4,133,"261 of 3146"
"Pike County, Georgia",13231,14.4,2593,"260 of 3146"
"Island County, Washington",53029,14.4,11549,"259 of 3146"
"Adams County, Pennsylvania",42001,14.4,14146,"258 of 3146"
"Pembina County, North Dakota",38067,14.4,971,"256 of 3146"
"Green County, Wisconsin",55045,14.3,5218,"255 of 3146"
"Wrangell-Petersburg Census Area, Alaska",02280,14.3,819,"254 of 3146"
"Lake County, Ohio",39085,14.3,32386,"253 of 3146"
"Douglas County, Nevada",32005,14.3,6830,"252 of 3146"
"Newport County, Rhode Island",44005,14.3,11286,"251 of 3146"
"Lake County, Illinois",17097,14.3,97504,"250 of 3146"
"Butler County, Nebraska",31023,14.3,1115,"249 of 3146"
"Benton County, Iowa",19011,14.2,3578,"248 of 3146"
"Maui County, Hawaii",15009,14.2,23235,"247 of 3146"
"Harding County, South Dakota",46063,14.2,183,"246 of 3146"
"Teller County, Colorado",08119,14.2,3438,"245 of 3146"
"Park County, Colorado",08093,14.1,2502,"244 of 3146"
"Sheboygan County, Wisconsin",55117,14.1,15852,"243 of 3146"
"Albemarle County, Virginia",51003,14.1,14186,"242 of 3146"
"Winneshiek County, Iowa",19191,14.1,2543,"241 of 3146"
"Arapahoe County, Colorado",08005,14.1,89820,"240 of 3146"
"Chesapeake City, Virginia",51550,14.1,32909,"239 of 3146"
"Outagamie County, Wisconsin",55087,14.1,25638,"238 of 3146"
"Wilson County, Tennessee",47189,14.1,18987,"237 of 3146"
"Napa County, California",06055,14.1,19171,"236 of 3146"
"McLean County, North Dakota",38055,14.1,1326,"235 of 3146"
"El Dorado County, California",06017,14.0,26216,"234 of 3146"
"Saunders County, Nebraska",31155,14.0,2929,"233 of 3146"
"Le Sueur County, Minnesota",27079,14.0,3908,"232 of 3146"
"Kingsbury County, South Dakota",46077,13.9,676,"231 of 3146"
"Sioux County, Iowa",19167,13.9,4518,"230 of 3146"
"Stillwater County, Montana",30095,13.9,1309,"229 of 3146"
"Bristol Bay Borough, Alaska",02060,13.9,118,"228 of 3146"
"Summit County, Colorado",08117,13.9,4236,"227 of 3146"
"Houston County, Minnesota",27055,13.9,2550,"226 of 3146"
"Marshall County, Minnesota",27089,13.9,1284,"225 of 3146"
"Wichita County, Kansas",20203,13.9,291,"224 of 3146"
"Stanton County, Nebraska",31167,13.8,816,"223 of 3146"
"Dawson County, Georgia",13085,13.8,3362,"222 of 3146"
"McHenry County, North Dakota",38049,13.8,803,"221 of 3146"
"King County, Washington",53033,13.8,299470,"220 of 3146"
"Jefferson County, Kansas",20087,13.8,2574,"219 of 3146"
"Potter County, South Dakota",46107,13.8,307,"218 of 3146"
"Mercer County, North Dakota",38057,13.8,1137,"217 of 3146"
"Grant County, South Dakota",46051,13.8,972,"216 of 3146"
"Butler County, Pennsylvania",42019,13.7,24927,"215 of 3146"
"Middlesex County, New Jersey",34023,13.7,109376,"214 of 3146"
"Columbia County, Wisconsin",55021,13.7,7609,"213 of 3146"
"Park County, Wyoming",56029,13.7,3911,"212 of 3146"
"Ohio County, Indiana",18115,13.7,787,"211 of 3146"
"Sheridan County, Wyoming",56033,13.6,3995,"210 of 3146"
"Sublette County, Wyoming",56035,13.6,1339,"209 of 3146"
"Gloucester County, Virginia",51073,13.6,5025,"208 of 3146"
"York County, Maine",23031,13.6,27233,"207 of 3146"
"Kent County, Rhode Island",44003,13.6,22005,"206 of 3146"
"Storey County, Nevada",32029,13.6,538,"205 of 3146"
"Washington County, Illinois",17189,13.5,1872,"204 of 3146"
"Kewaunee County, Wisconsin",55061,13.5,2720,"203 of 3146"
"Dukes County, Massachusetts",25007,13.5,2315,"202 of 3146"
"St. Johns County, Florida",12109,13.5,32564,"201 of 3146"
"Door County, Wisconsin",55029,13.4,3648,"200 of 3146"
"Gray County, Kansas",20069,13.4,800,"199 of 3146"
"Bremer County, Iowa",19017,13.4,3137,"198 of 3146"
"Oakland County, Michigan",26125,13.4,166859,"197 of 3146"
"Honolulu County, Hawaii",15003,13.4,127974,"196 of 3146"
"Edmunds County, South Dakota",46045,13.4,506,"195 of 3146"
"Washington County, Rhode Island",44009,13.4,16067,"194 of 3146"
"Burke County, North Dakota",38013,13.4,290,"193 of 3146"
"Lyon County, Iowa",19119,13.3,1549,"192 of 3146"
"Cedar County, Nebraska",31027,13.3,1108,"190 of 3146"
"Kalawao County, Hawaii",15005,13.3,8,"190 of 3146"
"Clarke County, Virginia",51043,13.3,1887,"189 of 3146"
"Johnson County, Indiana",18081,13.3,20065,"188 of 3146"
"Addison County, Vermont",50001,13.3,4504,"187 of 3146"
"Dunn County, North Dakota",38025,13.3,572,"186 of 3146"
"Kingman County, Kansas",20095,13.3,958,"185 of 3146"
"Washington County, Nebraska",31177,13.3,2658,"184 of 3146"
"Grand Isle County, Vermont",50013,13.2,924,"183 of 3146"
"Burleigh County, North Dakota",38015,13.2,12116,"182 of 3146"
"Cass County, Nebraska",31025,13.2,3326,"181 of 3146"
"Isanti County, Minnesota",27059,13.2,5124,"180 of 3146"
"Fort Bend County, Texas",48157,13.1,99675,"179 of 3146"
"Hamlin County, South Dakota",46057,13.1,767,"178 of 3146"
"Bristol County, Rhode Island",44001,13.1,5903,"177 of 3146"
"Traill County, North Dakota",38097,13.1,996,"176 of 3146"
"Roanoke County, Virginia",51161,13.1,11974,"175 of 3146"
"Leelanau County, Michigan",26089,13.1,2804,"174 of 3146"
"Putnam County, Illinois",17155,13.0,738,"173 of 3146"
"Shelby County, Alabama",01117,13.0,27386,"172 of 3146"
"Clackamas County, Oregon",41005,13.0,52995,"171 of 3146"
"Cherokee County, Georgia",13057,13.0,31917,"170 of 3146"
"Botetourt County, Virginia",51023,13.0,4273,"169 of 3146"
"Aleutians West Census Area, Alaska",02016,13.0,707,"167 of 3146"
"Renville County, North Dakota",38075,13.0,308,"167 of 3146"
"Hanson County, South Dakota",46061,13.0,440,"166 of 3146"
"Ouray County, Colorado",08091,12.9,620,"165 of 3146"
"Virginia Beach City, Virginia",51810,12.9,56893,"164 of 3146"
"Teton County, Wyoming",56039,12.9,2994,"163 of 3146"
"St. Marys County, Maryland",24037,12.9,14038,"162 of 3146"
"Harris County, Georgia",13145,12.9,4311,"161 of 3146"
"Hillsborough County, New Hampshire",33011,12.8,51770,"160 of 3146"
"Hand County, South Dakota",46059,12.8,408,"159 of 3146"
"Rock County, Nebraska",31149,12.8,171,"158 of 3146"
"Denton County, Texas",48121,12.8,104797,"157 of 3146"
"Campbell County, South Dakota",46021,12.8,188,"156 of 3146"
"Putnam County, Ohio",39137,12.7,4257,"155 of 3146"
"Oliver County, North Dakota",38065,12.7,234,"154 of 3146"
"Hancock County, Indiana",18059,12.7,9436,"153 of 3146"
"Hyde County, South Dakota",46069,12.7,162,"152 of 3146"
"Dickey County, North Dakota",38021,12.7,597,"151 of 3146"
"Snohomish County, Washington",53061,12.6,99437,"150 of 3146"
"Barnstable County, Massachusetts",25001,12.6,26595,"149 of 3146"
"Douglas County, South Dakota",46043,12.6,356,"148 of 3146"
"Grundy County, Illinois",17063,12.6,6321,"147 of 3146"
"Craig County, Virginia",51045,12.6,641,"146 of 3146"
"Chesterfield County, Virginia",51041,12.6,42672,"145 of 3146"
"Cumberland County, Pennsylvania",42041,12.6,29590,"144 of 3146"
"Bowman County, North Dakota",38011,12.5,385,"143 of 3146"
"Boone County, Kentucky",21015,12.5,16194,"142 of 3146"
"Warren County, Iowa",19181,12.5,6003,"141 of 3146"
"Warrick County, Indiana",18173,12.5,7621,"140 of 3146"
"Warren County, New Jersey",34041,12.4,12978,"139 of 3146"
"Tolland County, Connecticut",09013,12.4,16918,"138 of 3146"
"Santa Clara County, California",06085,12.4,235509,"137 of 3146"
"Columbia County, Georgia",13073,12.4,18596,"136 of 3146"
"Steele County, North Dakota",38091,12.4,215,"135 of 3146"
"Juneau Borough, Alaska",02110,12.3,3925,"134 of 3146"
"Gosper County, Nebraska",31073,12.3,243,"133 of 3146"
"Spotsylvania County, Virginia",51177,12.3,16277,"132 of 3146"
"Fairfax City, Virginia",51600,12.3,2806,"131 of 3146"
"Woodford County, Illinois",17203,12.3,4630,"130 of 3146"
"Marin County, California",06041,12.3,31201,"129 of 3146"
"Placer County, California",06061,12.3,46922,"128 of 3146"
"Rappahannock County, Virginia",51157,12.3,900,"127 of 3146"
"Kendall County, Texas",48259,12.2,5277,"126 of 3146"
"Grundy County, Iowa",19075,12.2,1474,"125 of 3146"
"Geauga County, Ohio",39055,12.2,11313,"124 of 3146"
"Fallon County, Montana",30025,12.2,344,"123 of 3146"
"Plymouth County, Massachusetts",25023,12.2,61326,"122 of 3146"
"Harford County, Maryland",24025,12.1,30374,"121 of 3146"
"Platte County, Missouri",29165,12.1,12085,"120 of 3146"
"Kodiak Island Borough, Alaska",02150,12.1,1600,"119 of 3146"
"Montgomery County, Maryland",24031,12.1,125376,"118 of 3146"
"Gloucester County, New Jersey",34015,12.0,34607,"117 of 3146"
"Union County, Ohio",39159,12.0,6409,"116 of 3146"
"Will County, Illinois",17197,12.0,81571,"115 of 3146"
"Prince William County, Virginia",51153,12.0,54598,"114 of 3146"
"Litchfield County, Connecticut",09005,11.9,21470,"112 of 3146"
"Jefferson County, Colorado",08059,11.9,67057,"111 of 3146"
"Middlesex County, Massachusetts",25017,11.8,182373,"110 of 3146"
"Valdez-Cordova Census Area, Alaska",02261,11.8,1077,"109 of 3146"
"Merrimack County, New Hampshire",33013,11.7,16731,"108 of 3146"
"Williamson County, Texas",48491,11.6,63012,"107 of 3146"
"James City County, Virginia",51095,11.6,8587,"106 of 3146"
"Cedar County, Iowa",19031,11.5,2094,"105 of 3146"
"Middlesex County, Connecticut",09007,11.5,18192,"104 of 3146"
"Williams County, North Dakota",38105,11.5,3970,"103 of 3146"
"King George County, Virginia",51099,11.5,2987,"102 of 3146"
"Collin County, Texas",48085,11.5,111160,"101 of 3146"
"Frederick County, Virginia",51069,11.5,9723,"100 of 3146"
"Anoka County, Minnesota",27003,11.4,39548,"99 of 3146"
"Monmouth County, New Jersey",34025,11.4,70150,"98 of 3146"
"Suffolk County, New York",36103,11.4,165744,"97 of 3146"
"DuPage County, Illinois",17043,11.3,103868,"96 of 3146"
"Richland County, Montana",30083,11.3,1260,"95 of 3146"
"Calumet County, Wisconsin",55015,11.3,5601,"94 of 3146"
"Chisago County, Minnesota",27025,11.3,6055,"93 of 3146"
"Bergen County, New Jersey",34003,11.3,103580,"92 of 3146"
"Miami County, Kansas",20121,11.3,3684,"91 of 3146"
"Davis County, Utah",49011,11.3,38627,"90 of 3146"
"San Mateo County, California",06081,11.2,85594,"89 of 3146"
"Jerauld County, South Dakota",46073,11.2,222,"88 of 3146"
"Lincoln County, Nevada",32017,11.2,514,"87 of 3146"
"Goochland County, Virginia",51075,11.1,2420,"86 of 3146"
"Fayette County, Georgia",13113,11.1,12390,"85 of 3146"
"Wabaunsee County, Kansas",20197,11.1,751,"84 of 3146"
"Dakota County, Minnesota",27037,11.0,46278,"83 of 3146"
"Sherburne County, Minnesota",27141,11.0,10157,"82 of 3146"
"Poquoson City, Virginia",51735,11.0,1325,"81 of 3146"
"McHenry County, Illinois",17111,11.0,33535,"80 of 3146"
"Hartley County, Texas",48205,11.0,452,"79 of 3146"
"New Kent County, Virginia",51127,10.9,2304,"78 of 3146"
"Burlington County, New Jersey",34005,10.9,47285,"77 of 3146"
"Oconee County, Georgia",13219,10.9,4119,"76 of 3146"
"Frederick County, Maryland",24021,10.9,26766,"75 of 3146"
"Elbert County, Colorado",08039,10.9,2774,"74 of 3146"
"Saratoga County, New York",36091,10.8,24366,"73 of 3146"
"Piatt County, Illinois",17147,10.8,1767,"72 of 3146"
"Arlington County, Virginia",51013,10.7,24677,"71 of 3146"
"Charles County, Maryland",24017,10.7,16833,"70 of 3146"
"Chester County, Pennsylvania",42029,10.7,54069,"69 of 3146"
"Dodge County, Minnesota",27039,10.5,2156,"68 of 3146"
"Medina County, Ohio",39103,10.5,18484,"67 of 3146"
"Boone County, Indiana",18011,10.5,6762,"66 of 3146"
"Sarpy County, Nebraska",31153,10.4,18663,"65 of 3146"
"Fairfax County, Virginia",51059,10.4,118184,"64 of 3146"
"Pitkin County, Colorado",08097,10.4,1854,"63 of 3146"
"Thomas County, Nebraska",31171,10.4,67,"62 of 3146"
"Gilpin County, Colorado",08047,10.3,605,"61 of 3146"
"Fluvanna County, Virginia",51065,10.3,2570,"60 of 3146"
"Hamilton County, Nebraska",31081,10.2,927,"59 of 3146"
"Montgomery County, Pennsylvania",42091,10.1,81224,"58 of 3146"
"Madison County, Iowa",19121,10.1,1595,"57 of 3146"
"Bucks County, Pennsylvania",42017,10.1,62320,"56 of 3146"
"Anne Arundel County, Maryland",24003,10.0,55463,"55 of 3146"
"Wasatch County, Utah",49051,10.0,3139,"54 of 3146"
"Norfolk County, Massachusetts",25021,9.8,67150,"53 of 3146"
"Perkins County, Nebraska",31135,9.8,281,"52 of 3146"
"Dallas County, Iowa",19049,9.8,8452,"51 of 3146"
"Aurora County, South Dakota",46003,9.7,254,"50 of 3146"
"Johnson County, Kansas",20091,9.6,56488,"49 of 3146"
"Summit County, Utah",49043,9.6,3911,"48 of 3146"
"Sargent County, North Dakota",38081,9.5,363,"47 of 3146"
"Queen Annes County, Maryland",24035,9.5,4672,"46 of 3146"
"Nassau County, New York",36059,9.5,126878,"45 of 3146"
"York County, Virginia",51199,9.4,6239,"44 of 3146"
"Fauquier County, Virginia",51061,9.4,6514,"43 of 3146"
"Livingston County, Michigan",26093,9.4,17668,"42 of 3146"
"Morgan County, Utah",49029,9.3,1084,"41 of 3146"
"Scott County, Minnesota",27139,9.2,13156,"40 of 3146"
"Ozaukee County, Wisconsin",55089,9.2,7951,"39 of 3146"
"Rockwall County, Texas",48397,9.2,8827,"38 of 3146"
"Wright County, Minnesota",27171,9.0,11992,"37 of 3146"
"Carroll County, Maryland",24013,9.0,14764,"36 of 3146"
"Forsyth County, Georgia",13117,9.0,20463,"35 of 3146"
"St. Charles County, Missouri",29183,8.9,34472,"34 of 3146"
"St. Croix County, Wisconsin",55109,8.9,7818,"33 of 3146"
"Hanover County, Virginia",51085,8.8,9166,"32 of 3146"
"Warren County, Ohio",39165,8.8,19479,"31 of 3146"
"Oldham County, Kentucky",21185,8.7,5430,"30 of 3146"
"Howard County, Maryland",24027,8.7,27431,"29 of 3146"
"Putnam County, New York",36079,8.7,8428,"28 of 3146"
"Broomfield County, Colorado",08014,8.6,5800,"27 of 3146"
"Hendricks County, Indiana",18063,8.5,13686,"26 of 3146"
"Calvert County, Maryland",24009,8.4,7666,"25 of 3146"
"Morris County, New Jersey",34027,8.4,40822,"24 of 3146"
"Powhatan County, Virginia",51145,8.4,2197,"23 of 3146"
"Monroe County, Illinois",17133,8.3,2823,"22 of 3146"
"Stanley County, South Dakota",46117,8.3,250,"21 of 3146"
"Lincoln County, South Dakota",46083,8.3,4659,"20 of 3146"
"Waukesha County, Wisconsin",55133,8.3,32743,"19 of 3146"
"Sussex County, New Jersey",34037,8.3,11600,"18 of 3146"
"Stafford County, Virginia",51179,8.3,11793,"17 of 3146"
"Washington County, Wisconsin",55131,8.2,11044,"16 of 3146"
"Kendall County, Illinois",17093,8.2,10335,"15 of 3146"
"Rockingham County, New Hampshire",33015,8.2,24873,"14 of 3146"
"Somerset County, New Jersey",34035,8.2,26667,"13 of 3146"
"Borden County, Texas",48033,8.2,50,"12 of 3146"
"Hamilton County, Indiana",18057,8.1,25854,"11 of 3146"
"Washington County, Minnesota",27163,8.0,20288,"10 of 3146"
"Williamson County, Tennessee",47187,7.9,17844,"9 of 3146"
"Delaware County, Ohio",39041,7.8,15431,"8 of 3146"
"Hunterdon County, New Jersey",34019,7.7,9282,"7 of 3146"
"Carver County, Minnesota",27019,7.0,7052,"6 of 3146"
"Los Alamos County, New Mexico",35028,6.8,1267,"5 of 3146"
"Loudoun County, Virginia",51107,6.7,26452,"4 of 3146"
"Douglas County, Colorado",08035,5.0,16633,"3 of 3146"
"Falls Church City, Virginia",51610,4.8,680,"2 of 3146"
"Daggett County, Utah",49009,4.8,25,"1 of 3146"

Created by statecancerprofiles.cancer.gov on 11/12/2021 12:00 am.
"Alaska Census Area Name Change: please note that Wade Hampton Census Area, AK (FIPS code=02270) was renamed effective July 1, 2015, and the new name is Kusilvak Census Area (FIPS Code=02158). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

"South Dakota County Name Change: please note that Shannon County, SD (FIPS code=46113) was renamed effective May 1, 2015, and the new name is Oglala Lakota County (FIPS Code=46102). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below 150% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php . Puerto Rico is being treated as a Health Service Area for this data presentation."
